"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",LAS TAPIAS ,32.641 ,85.713 ,118.354 ,49.816 ,89.060 ,138.876 ,45.695 ,79.949 ,125.645 ,382.875
"",LOS CERRILLOS ,35.805 ,94.023 ,129.828 ,54.645 ,97.694 ,152.339 ,50.125 ,87.700 ,137.825 ,419.993
"",SAN JAVIER Y YACANTO ,30.283 ,79.523 ,109.806 ,46.218 ,82.627 ,128.845 ,42.395 ,74.175 ,116.570 ,355.221
"",SAN JOSE ,34.242 ,89.917 ,124.159 ,52.259 ,93.428 ,145.687 ,47.936 ,83.871 ,131.807 ,401.654
"",VILLA DE LAS ROSAS ,45.004 ,118.180 ,163.184 ,68.685 ,122.794 ,191.479 ,63.003 ,110.232 ,173.236 ,527.898
"",VILLA DOLORES ,215.136 ,564.938 ,780.074 ,328.338 ,586.995 ,915.333 ,301.177 ,526.949 ,828.126 ,2.523.533
Total SAN JAVIER ,"",434.314 ,1.140.489 ,1.574.803 ,662.844 ,1.185.016 ,1.847.860 ,608.012 ,1.063.796 ,1.671.808 ,5.094.471
SAN JUSTO,"","","","","","","","","","",""
"",ALICIA ,41.069 ,107.846 ,148.915 ,62.679 ,112.056 ,174.736 ,57.494 ,100.594 ,158.088 ,481.738
"",ALTOS DE CHIPION ,31.935 ,83.859 ,115.793 ,48.738 ,87.133 ,135.871 ,44.706 ,78.220 ,122.926 ,374.591
"",ARROYITO ,163.000 ,428.030 ,591.030 ,248.768 ,444.742 ,693.510 ,228.190 ,399.247 ,627.437 ,1.911.976
"",BALNEARIA ,61.320 ,161.023 ,222.342 ,93.585 ,167.309 ,260.895 ,85.844 ,150.195 ,236.038 ,719.275
"",BRINCKMAN ,87.115 ,228.761 ,315.876 ,132.954 ,237.692 ,370.646 ,121.956 ,213.377 ,335.333 ,1.021.855
"",COLONIA MARINA ,27.651 ,72.611 ,100.262 ,42.201 ,75.446 ,117.647 ,38.710 ,67.728 ,106.438 ,324.347
"",COLONIA PROSPERIDAD ,22.120 ,58.085 ,80.205 ,33.759 ,60.353 ,94.112 ,30.966 ,54.179 ,85.145 ,259.462
